"BehaviorSpace results (NetLogo 6.0.4)"
"epidemic.nlogo"
"immunity"
"04/02/2019 11:45:53:960 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-people","num-infect","immune-chance","recovery-chance","[step]","count turtles with [infected?]","count turtles"
"4","500","1","90","10","82","0","500"
"6","500","1","90","10","86","0","500"
"8","500","1","90","10","95","0","500"
"7","500","1","90","10","94","0","500"
"3","500","1","90","10","97","0","500"
"1","500","1","90","10","95","0","500"
"4","500","1","90","10","83","0","500"
"9","500","1","90","10","1","0","500"
"2","500","1","90","10","92","0","500"
"6","500","1","90","10","87","0","500"
"8","500","1","90","10","96","0","500"
"4","500","1","90","10","84","0","500"
"2","500","1","90","10","93","0","500"
"9","500","1","90","10","2","0","500"
"7","500","1","90","10","95","0","500"
"3","500","1","90","10","98","0","500"
"1","500","1","90","10","96","0","500"
"2","500","1","90","10","94","0","500"
"6","500","1","90","10","88","0","500"
"8","500","1","90","10","97","0","500"
"3","500","1","90","10","99","0","500"
"7","500","1","90","10","96","0","500"
"4","500","1","90","10","85","0","500"
"9","500","1","90","10","3","0","500"
"2","500","1","90","10","95","0","500"
"6","500","1","90","10","89","0","500"
"1","500","1","90","10","97","0","500"
"8","500","1","90","10","98","0","500"
"4","500","1","90","10","86","0","500"
"3","500","1","90","10","100","0","500"
"6","500","1","90","10","90","0","500"
"7","500","1","90","10","97","0","500"
"1","500","1","90","10","98","0","500"
"9","500","1","90","10","4","0","500"
"2","500","1","90","10","96","0","500"
"4","500","1","90","10","87","0","500"
"6","500","1","90","10","91","0","500"
"8","500","1","90","10","99","0","500"
"7","500","1","90","10","98","0","500"
"9","500","1","90","10","5","0","500"
"1","500","1","90","10","99","0","500"
"4","500","1","90","10","88","0","500"
"2","500","1","90","10","97","0","500"
"6","500","1","90","10","92","0","500"
"8","500","1","90","10","100","0","500"
"7","500","1","90","10","99","0","500"
"10","500","1","90","10","0","1","500"
"9","500","1","90","10","6","0","500"
"1","500","1","90","10","100","0","500"
"4","500","1","90","10","89","0","500"
"2","500","1","90","10","98","0","500"
"7","500","1","90","10","100","0","500"
"6","500","1","90","10","93","0","500"
"9","500","1","90","10","7","0","500"
"6","500","1","90","10","94","0","500"
"4","500","1","90","10","90","0","500"
"11","500","10","90","10","0","2","500"
"2","500","1","90","10","99","0","500"
"9","500","1","90","10","8","0","500"
"6","500","1","90","10","95","0","500"
"12","500","10","90","10","0","0","500"
"13","500","10","90","10","0","0","500"
"4","500","1","90","10","91","0","500"
"2","500","1","90","10","100","0","500"
"6","500","1","90","10","96","0","500"
"10","500","1","90","10","1","0","500"
"9","500","1","90","10","9","0","500"
"4","500","1","90","10","92","0","500"
"11","500","10","90","10","1","2","500"
"6","500","1","90","10","97","0","500"
"9","500","1","90","10","10","0","500"
"12","500","10","90","10","1","0","500"
"4","500","1","90","10","93","0","500"
"6","500","1","90","10","98","0","500"
"14","500","10","90","10","0","0","500"
"9","500","1","90","10","11","0","500"
"4","500","1","90","10","94","0","500"
"6","500","1","90","10","99","0","500"
"14","500","10","90","10","1","0","500"
"9","500","1","90","10","12","0","500"
"10","500","1","90","10","2","0","500"
"12","500","10","90","10","2","0","500"
"11","500","10","90","10","2","2","500"
"4","500","1","90","10","95","0","500"
"6","500","1","90","10","100","0","500"
"9","500","1","90","10","13","0","500"
"4","500","1","90","10","96","0","500"
"10","500","1","90","10","3","0","500"
"12","500","10","90","10","3","0","500"
"9","500","1","90","10","14","0","500"
"4","500","1","90","10","97","0","500"
"9","500","1","90","10","15","0","500"
"10","500","1","90","10","4","0","500"
"15","500","10","90","10","0","1","500"
"4","500","1","90","10","98","0","500"
"12","500","10","90","10","4","0","500"
"14","500","10","90","10","2","0","500"
"9","500","1","90","10","16","0","500"
"4","500","1","90","10","99","0","500"
"10","500","1","90","10","5","0","500"
"9","500","1","90","10","17","0","500"
"12","500","10","90","10","5","0","500"
"4","500","1","90","10","100","0","500"
"14","500","10","90","10","3","0","500"
"15","500","10","90","10","1","1","500"
"10","500","1","90","10","6","0","500"
"9","500","1","90","10","18","0","500"
"12","500","10","90","10","6","0","500"
"14","500","10","90","10","4","0","500"
"9","500","1","90","10","19","0","500"
"10","500","1","90","10","7","0","500"
"15","500","10","90","10","2","0","500"
"12","500","10","90","10","7","0","500"
"9","500","1","90","10","20","0","500"
"16","500","10","90","10","0","1","500"
"14","500","10","90","10","5","0","500"
"10","500","1","90","10","8","0","500"
"15","500","10","90","10","3","0","500"
"9","500","1","90","10","21","0","500"
"14","500","10","90","10","6","0","500"
"12","500","10","90","10","8","0","500"
"10","500","1","90","10","9","0","500"
"13","500","10","90","10","1","0","500"
"16","500","10","90","10","1","1","500"
"9","500","1","90","10","22","0","500"
"14","500","10","90","10","7","0","500"
"12","500","10","90","10","9","0","500"
"10","500","1","90","10","10","0","500"
"9","500","1","90","10","23","0","500"
"16","500","10","90","10","2","1","500"
"14","500","10","90","10","8","0","500"
"13","500","10","90","10","2","0","500"
"9","500","1","90","10","24","0","500"
"12","500","10","90","10","10","0","500"
"14","500","10","90","10","9","0","500"
"10","500","1","90","10","11","0","500"
"13","500","10","90","10","3","0","500"
"9","500","1","90","10","25","0","500"
"12","500","10","90","10","11","0","500"
"14","500","10","90","10","10","0","500"
"13","500","10","90","10","4","0","500"
"10","500","1","90","10","12","0","500"
"12","500","10","90","10","12","0","500"
"13","500","10","90","10","5","0","500"
"9","500","1","90","10","26","0","500"
"10","500","1","90","10","13","0","500"
"14","500","10","90","10","11","0","500"
"12","500","10","90","10","13","0","500"
"13","500","10","90","10","6","0","500"
"10","500","1","90","10","14","0","500"
"14","500","10","90","10","12","0","500"
"9","500","1","90","10","27","0","500"
"12","500","10","90","10","14","0","500"
"13","500","10","90","10","7","0","500"
"9","500","1","90","10","28","0","500"
"14","500","10","90","10","13","0","500"
"10","500","1","90","10","15","0","500"
"9","500","1","90","10","29","0","500"
"12","500","10","90","10","15","0","500"
"14","500","10","90","10","14","0","500"
"9","500","1","90","10","30","0","500"
"13","500","10","90","10","8","0","500"
"10","500","1","90","10","16","0","500"
"14","500","10","90","10","15","0","500"
"12","500","10","90","10","16","0","500"
"16","500","10","90","10","3","1","500"
"9","500","1","90","10","31","0","500"
"13","500","10","90","10","9","0","500"
"10","500","1","90","10","17","0","500"
"14","500","10","90","10","16","0","500"
"12","500","10","90","10","17","0","500"
"9","500","1","90","10","32","0","500"
"16","500","10","90","10","4","1","500"
"13","500","10","90","10","10","0","500"
"10","500","1","90","10","18","0","500"
"15","500","10","90","10","4","0","500"
"14","500","10","90","10","17","0","500"
"12","500","10","90","10","18","0","500"
"9","500","1","90","10","33","0","500"
"16","500","10","90","10","5","1","500"
"13","500","10","90","10","11","0","500"
"10","500","1","90","10","19","0","500"
"12","500","10","90","10","19","0","500"
"14","500","10","90","10","18","0","500"
"16","500","10","90","10","6","1","500"
"13","500","10","90","10","12","0","500"
"10","500","1","90","10","20","0","500"
"12","500","10","90","10","20","0","500"
"9","500","1","90","10","34","0","500"
"11","500","10","90","10","3","2","500"
"10","500","1","90","10","21","0","500"
"13","500","10","90","10","13","0","500"
"16","500","10","90","10","7","1","500"
"14","500","10","90","10","19","0","500"
"9","500","1","90","10","35","0","500"
"12","500","10","90","10","21","0","500"
"16","500","10","90","10","8","1","500"
"9","500","1","90","10","36","0","500"
"10","500","1","90","10","22","0","500"
"14","500","10","90","10","20","0","500"
"11","500","10","90","10","4","1","500"
"9","500","1","90","10","37","0","500"
"13","500","10","90","10","14","0","500"
"10","500","1","90","10","23","0","500"
"12","500","10","90","10","22","0","500"
"14","500","10","90","10","21","0","500"
"16","500","10","90","10","9","0","500"
"11","500","10","90","10","5","1","500"
"9","500","1","90","10","38","0","500"
"14","500","10","90","10","22","0","500"
"12","500","10","90","10","23","0","500"
"10","500","1","90","10","24","0","500"
"16","500","10","90","10","10","0","500"
"13","500","10","90","10","15","0","500"
"9","500","1","90","10","39","0","500"
"14","500","10","90","10","23","0","500"
"12","500","10","90","10","24","0","500"
"16","500","10","90","10","11","0","500"
"9","500","1","90","10","40","0","500"
"11","500","10","90","10","6","1","500"
"15","500","10","90","10","5","0","500"
"14","500","10","90","10","24","0","500"
"9","500","1","90","10","41","0","500"
"12","500","10","90","10","25","0","500"
"10","500","1","90","10","25","0","500"
"13","500","10","90","10","16","0","500"
"16","500","10","90","10","12","0","500"
"9","500","1","90","10","42","0","500"
"14","500","10","90","10","25","0","500"
"12","500","10","90","10","26","0","500"
"15","500","10","90","10","6","0","500"
"11","500","10","90","10","7","2","500"
"10","500","1","90","10","26","0","500"
"9","500","1","90","10","43","0","500"
"14","500","10","90","10","26","0","500"
"12","500","10","90","10","27","0","500"
"9","500","1","90","10","44","0","500"
"13","500","10","90","10","17","0","500"
"11","500","10","90","10","8","2","500"
"15","500","10","90","10","7","0","500"
"14","500","10","90","10","27","0","500"
"16","500","10","90","10","13","0","500"
"10","500","1","90","10","27","0","500"
"12","500","10","90","10","28","0","500"
"9","500","1","90","10","45","0","500"
"15","500","10","90","10","8","0","500"
"13","500","10","90","10","18","0","500"
"11","500","10","90","10","9","2","500"
"12","500","10","90","10","29","0","500"
"16","500","10","90","10","14","0","500"
"10","500","1","90","10","28","0","500"
"14","500","10","90","10","28","0","500"
"9","500","1","90","10","46","0","500"
"15","500","10","90","10","9","0","500"
"13","500","10","90","10","19","0","500"
"10","500","1","90","10","29","0","500"
"11","500","10","90","10","10","1","500"
"12","500","10","90","10","30","0","500"
"16","500","10","90","10","15","0","500"
"14","500","10","90","10","29","0","500"
"15","500","10","90","10","10","0","500"
"9","500","1","90","10","47","0","500"
"13","500","10","90","10","20","0","500"
"10","500","1","90","10","30","0","500"
"11","500","10","90","10","11","1","500"
"10","500","1","90","10","31","0","500"
"13","500","10","90","10","21","0","500"
"12","500","10","90","10","31","0","500"
"14","500","10","90","10","30","0","500"
"16","500","10","90","10","16","0","500"
"15","500","10","90","10","11","0","500"
"11","500","10","90","10","12","1","500"
"10","500","1","90","10","32","0","500"
"12","500","10","90","10","32","0","500"
"13","500","10","90","10","22","0","500"
"9","500","1","90","10","48","0","500"
"14","500","10","90","10","31","0","500"
"12","500","10","90","10","33","0","500"
"10","500","1","90","10","33","0","500"
"9","500","1","90","10","49","0","500"
"16","500","10","90","10","17","0","500"
"15","500","10","90","10","12","0","500"
"11","500","10","90","10","13","1","500"
"12","500","10","90","10","34","0","500"
"14","500","10","90","10","32","0","500"
"9","500","1","90","10","50","0","500"
"13","500","10","90","10","23","0","500"
"10","500","1","90","10","34","0","500"
"15","500","10","90","10","13","0","500"
"12","500","10","90","10","35","0","500"
"16","500","10","90","10","18","0","500"
"11","500","10","90","10","14","0","500"
"13","500","10","90","10","24","0","500"
"10","500","1","90","10","35","0","500"
"14","500","10","90","10","33","0","500"
"15","500","10","90","10","14","0","500"
"16","500","10","90","10","19","0","500"
"12","500","10","90","10","36","0","500"
"9","500","1","90","10","51","0","500"
"11","500","10","90","10","15","0","500"
"13","500","10","90","10","25","0","500"
"10","500","1","90","10","36","0","500"
"15","500","10","90","10","15","0","500"
"14","500","10","90","10","34","0","500"
"12","500","10","90","10","37","0","500"
"16","500","10","90","10","20","0","500"
"13","500","10","90","10","26","0","500"
"10","500","1","90","10","37","0","500"
"9","500","1","90","10","52","0","500"
"11","500","10","90","10","16","0","500"
"15","500","10","90","10","16","0","500"
"12","500","10","90","10","38","0","500"
"16","500","10","90","10","21","0","500"
"14","500","10","90","10","35","0","500"
"13","500","10","90","10","27","0","500"
"11","500","10","90","10","17","0","500"
"12","500","10","90","10","39","0","500"
"15","500","10","90","10","17","0","500"
"10","500","1","90","10","38","0","500"
"9","500","1","90","10","53","0","500"
"16","500","10","90","10","22","0","500"
"14","500","10","90","10","36","0","500"
"9","500","1","90","10","54","0","500"
"12","500","10","90","10","40","0","500"
"13","500","10","90","10","28","0","500"
"11","500","10","90","10","18","0","500"
"14","500","10","90","10","37","0","500"
"16","500","10","90","10","23","0","500"
"15","500","10","90","10","18","0","500"
"10","500","1","90","10","39","0","500"
"9","500","1","90","10","55","0","500"
"14","500","10","90","10","38","0","500"
"13","500","10","90","10","29","0","500"
"12","500","10","90","10","41","0","500"
"16","500","10","90","10","24","0","500"
"11","500","10","90","10","19","0","500"
"14","500","10","90","10","39","0","500"
"15","500","10","90","10","19","0","500"
"9","500","1","90","10","56","0","500"
"10","500","1","90","10","40","0","500"
"13","500","10","90","10","30","0","500"
"16","500","10","90","10","25","0","500"
"12","500","10","90","10","42","0","500"
"14","500","10","90","10","40","0","500"
"9","500","1","90","10","57","0","500"
"15","500","10","90","10","20","0","500"
"11","500","10","90","10","20","0","500"
"10","500","1","90","10","41","0","500"
"16","500","10","90","10","26","0","500"
"14","500","10","90","10","41","0","500"
"9","500","1","90","10","58","0","500"
"13","500","10","90","10","31","0","500"
"10","500","1","90","10","42","0","500"
"15","500","10","90","10","21","0","500"
"9","500","1","90","10","59","0","500"
"14","500","10","90","10","42","0","500"
"11","500","10","90","10","21","0","500"
"13","500","10","90","10","32","0","500"
"16","500","10","90","10","27","0","500"
"9","500","1","90","10","60","0","500"
"14","500","10","90","10","43","0","500"
"10","500","1","90","10","43","0","500"
"13","500","10","90","10","33","0","500"
"15","500","10","90","10","22","0","500"
"11","500","10","90","10","22","0","500"
"16","500","10","90","10","28","0","500"
"9","500","1","90","10","61","0","500"
"14","500","10","90","10","44","0","500"
"13","500","10","90","10","34","0","500"
"10","500","1","90","10","44","0","500"
"15","500","10","90","10","23","0","500"
"16","500","10","90","10","29","0","500"
"9","500","1","90","10","62","0","500"
"14","500","10","90","10","45","0","500"
"10","500","1","90","10","45","0","500"
"11","500","10","90","10","23","0","500"
"13","500","10","90","10","35","0","500"
"16","500","10","90","10","30","0","500"
"9","500","1","90","10","63","0","500"
"15","500","10","90","10","24","0","500"
"14","500","10","90","10","46","0","500"
"10","500","1","90","10","46","0","500"
"13","500","10","90","10","36","0","500"
"9","500","1","90","10","64","0","500"
"16","500","10","90","10","31","0","500"
"11","500","10","90","10","24","0","500"
"15","500","10","90","10","25","0","500"
"14","500","10","90","10","47","0","500"
"13","500","10","90","10","37","0","500"
"10","500","1","90","10","47","0","500"
"9","500","1","90","10","65","0","500"
"16","500","10","90","10","32","0","500"
"14","500","10","90","10","48","0","500"
"15","500","10","90","10","26","0","500"
"11","500","10","90","10","25","0","500"
"9","500","1","90","10","66","0","500"
"16","500","10","90","10","33","0","500"
"13","500","10","90","10","38","0","500"
"14","500","10","90","10","49","0","500"
"9","500","1","90","10","67","0","500"
"10","500","1","90","10","48","0","500"
"16","500","10","90","10","34","0","500"
"15","500","10","90","10","27","0","500"
"14","500","10","90","10","50","0","500"
"11","500","10","90","10","26","0","500"
"13","500","10","90","10","39","0","500"
"9","500","1","90","10","68","0","500"
"16","500","10","90","10","35","0","500"
"14","500","10","90","10","51","0","500"
"10","500","1","90","10","49","0","500"
"15","500","10","90","10","28","0","500"
"9","500","1","90","10","69","0","500"
"16","500","10","90","10","36","0","500"
"13","500","10","90","10","40","0","500"
"11","500","10","90","10","27","0","500"
"14","500","10","90","10","52","0","500"
"9","500","1","90","10","70","0","500"
"16","500","10","90","10","37","0","500"
"14","500","10","90","10","53","0","500"
"10","500","1","90","10","50","0","500"
"15","500","10","90","10","29","0","500"
"13","500","10","90","10","41","0","500"
"14","500","10","90","10","54","0","500"
"16","500","10","90","10","38","0","500"
"10","500","1","90","10","51","0","500"
"13","500","10","90","10","42","0","500"
"14","500","10","90","10","55","0","500"
"16","500","10","90","10","39","0","500"
"15","500","10","90","10","30","0","500"
"11","500","10","90","10","28","0","500"
"13","500","10","90","10","43","0","500"
"14","500","10","90","10","56","0","500"
"16","500","10","90","10","40","0","500"
"10","500","1","90","10","52","0","500"
"15","500","10","90","10","31","0","500"
"14","500","10","90","10","57","0","500"
"13","500","10","90","10","44","0","500"
"16","500","10","90","10","41","0","500"
"11","500","10","90","10","29","0","500"
"14","500","10","90","10","58","0","500"
"10","500","1","90","10","53","0","500"
"16","500","10","90","10","42","0","500"
"15","500","10","90","10","32","0","500"
"14","500","10","90","10","59","0","500"
"16","500","10","90","10","43","0","500"
"13","500","10","90","10","45","0","500"
"10","500","1","90","10","54","0","500"
"11","500","10","90","10","30","0","500"
"15","500","10","90","10","33","0","500"
"14","500","10","90","10","60","0","500"
"16","500","10","90","10","44","0","500"
"10","500","1","90","10","55","0","500"
"13","500","10","90","10","46","0","500"
"14","500","10","90","10","61","0","500"
"16","500","10","90","10","45","0","500"
"15","500","10","90","10","34","0","500"
"14","500","10","90","10","62","0","500"
"10","500","1","90","10","56","0","500"
"11","500","10","90","10","31","0","500"
"16","500","10","90","10","46","0","500"
"15","500","10","90","10","35","0","500"
"14","500","10","90","10","63","0","500"
"13","500","10","90","10","47","0","500"
"10","500","1","90","10","57","0","500"
"16","500","10","90","10","47","0","500"
"15","500","10","90","10","36","0","500"
"14","500","10","90","10","64","0","500"
"16","500","10","90","10","48","0","500"
"11","500","10","90","10","32","0","500"
"13","500","10","90","10","48","0","500"
"15","500","10","90","10","37","0","500"
"9","500","1","90","10","71","0","500"
"14","500","10","90","10","65","0","500"
"10","500","1","90","10","58","0","500"
"16","500","10","90","10","49","0","500"
"11","500","10","90","10","33","0","500"
"15","500","10","90","10","38","0","500"
"13","500","10","90","10","49","0","500"
"9","500","1","90","10","72","0","500"
"14","500","10","90","10","66","0","500"
"10","500","1","90","10","59","0","500"
"16","500","10","90","10","50","0","500"
"11","500","10","90","10","34","0","500"
"15","500","10","90","10","39","0","500"
"9","500","1","90","10","73","0","500"
"13","500","10","90","10","50","0","500"
"14","500","10","90","10","67","0","500"
"16","500","10","90","10","51","0","500"
"10","500","1","90","10","60","0","500"
"11","500","10","90","10","35","0","500"
"14","500","10","90","10","68","0","500"
"9","500","1","90","10","74","0","500"
"15","500","10","90","10","40","0","500"
"13","500","10","90","10","51","0","500"
"16","500","10","90","10","52","0","500"
"10","500","1","90","10","61","0","500"
"11","500","10","90","10","36","0","500"
"9","500","1","90","10","75","0","500"
"15","500","10","90","10","41","0","500"
"16","500","10","90","10","53","0","500"
"11","500","10","90","10","37","0","500"
"10","500","1","90","10","62","0","500"
"13","500","10","90","10","52","0","500"
"9","500","1","90","10","76","0","500"
"15","500","10","90","10","42","0","500"
"16","500","10","90","10","54","0","500"
"10","500","1","90","10","63","0","500"
"13","500","10","90","10","53","0","500"
"11","500","10","90","10","38","0","500"
"14","500","10","90","10","69","0","500"
"9","500","1","90","10","77","0","500"
"15","500","10","90","10","43","0","500"
"10","500","1","90","10","64","0","500"
"16","500","10","90","10","55","0","500"
"13","500","10","90","10","54","0","500"
"11","500","10","90","10","39","0","500"
"14","500","10","90","10","70","0","500"
"16","500","10","90","10","56","0","500"
"13","500","10","90","10","55","0","500"
"15","500","10","90","10","44","0","500"
"9","500","1","90","10","78","0","500"
"11","500","10","90","10","40","0","500"
"14","500","10","90","10","71","0","500"
"16","500","10","90","10","57","0","500"
"9","500","1","90","10","79","0","500"
"13","500","10","90","10","56","0","500"
"12","500","10","90","10","43","0","500"
"15","500","10","90","10","45","0","500"
"11","500","10","90","10","41","0","500"
"14","500","10","90","10","72","0","500"
"16","500","10","90","10","58","0","500"
"9","500","1","90","10","80","0","500"
"13","500","10","90","10","57","0","500"
"12","500","10","90","10","44","0","500"
"15","500","10","90","10","46","0","500"
"14","500","10","90","10","73","0","500"
"11","500","10","90","10","42","0","500"
"9","500","1","90","10","81","0","500"
"16","500","10","90","10","59","0","500"
"14","500","10","90","10","74","0","500"
"13","500","10","90","10","58","0","500"
"12","500","10","90","10","45","0","500"
"9","500","1","90","10","82","0","500"
"15","500","10","90","10","47","0","500"
"16","500","10","90","10","60","0","500"
"14","500","10","90","10","75","0","500"
"9","500","1","90","10","83","0","500"
"16","500","10","90","10","61","0","500"
"13","500","10","90","10","59","0","500"
"11","500","10","90","10","43","0","500"
"12","500","10","90","10","46","0","500"
"15","500","10","90","10","48","0","500"
"14","500","10","90","10","76","0","500"
"9","500","1","90","10","84","0","500"
"16","500","10","90","10","62","0","500"
"13","500","10","90","10","60","0","500"
"11","500","10","90","10","44","0","500"
"14","500","10","90","10","77","0","500"
"9","500","1","90","10","85","0","500"
"12","500","10","90","10","47","0","500"
"15","500","10","90","10","49","0","500"
"16","500","10","90","10","63","0","500"
"13","500","10","90","10","61","0","500"
"11","500","10","90","10","45","0","500"
"14","500","10","90","10","78","0","500"
"9","500","1","90","10","86","0","500"
"12","500","10","90","10","48","0","500"
"16","500","10","90","10","64","0","500"
"15","500","10","90","10","50","0","500"
"9","500","1","90","10","87","0","500"
"11","500","10","90","10","46","0","500"
"14","500","10","90","10","79","0","500"
"13","500","10","90","10","62","0","500"
"16","500","10","90","10","65","0","500"
"12","500","10","90","10","49","0","500"
"15","500","10","90","10","51","0","500"
"11","500","10","90","10","47","0","500"
"9","500","1","90","10","88","0","500"
"13","500","10","90","10","63","0","500"
"14","500","10","90","10","80","0","500"
"16","500","10","90","10","66","0","500"
"12","500","10","90","10","50","0","500"
"15","500","10","90","10","52","0","500"
"9","500","1","90","10","89","0","500"
"11","500","10","90","10","48","0","500"
"13","500","10","90","10","64","0","500"
"14","500","10","90","10","81","0","500"
"16","500","10","90","10","67","0","500"
"15","500","10","90","10","53","0","500"
"12","500","10","90","10","51","0","500"
"9","500","1","90","10","90","0","500"
"14","500","10","90","10","82","0","500"
"11","500","10","90","10","49","0","500"
"16","500","10","90","10","68","0","500"
"10","500","1","90","10","65","0","500"
"15","500","10","90","10","54","0","500"
"12","500","10","90","10","52","0","500"
"9","500","1","90","10","91","0","500"
"11","500","10","90","10","50","0","500"
"14","500","10","90","10","83","0","500"
"10","500","1","90","10","66","0","500"
"16","500","10","90","10","69","0","500"
"15","500","10","90","10","55","0","500"
"11","500","10","90","10","51","0","500"
"9","500","1","90","10","92","0","500"
"12","500","10","90","10","53","0","500"
"14","500","10","90","10","84","0","500"
"10","500","1","90","10","67","0","500"
"15","500","10","90","10","56","0","500"
"11","500","10","90","10","52","0","500"
"9","500","1","90","10","93","0","500"
"12","500","10","90","10","54","0","500"
"14","500","10","90","10","85","0","500"
"10","500","1","90","10","68","0","500"
"16","500","10","90","10","70","0","500"
"15","500","10","90","10","57","0","500"
"11","500","10","90","10","53","0","500"
"9","500","1","90","10","94","0","500"
"14","500","10","90","10","86","0","500"
"12","500","10","90","10","55","0","500"
"10","500","1","90","10","69","0","500"
"13","500","10","90","10","65","0","500"
"15","500","10","90","10","58","0","500"
"16","500","10","90","10","71","0","500"
"9","500","1","90","10","95","0","500"
"11","500","10","90","10","54","0","500"
"14","500","10","90","10","87","0","500"
"12","500","10","90","10","56","0","500"
"10","500","1","90","10","70","0","500"
"13","500","10","90","10","66","0","500"
"15","500","10","90","10","59","0","500"
"9","500","1","90","10","96","0","500"
"11","500","10","90","10","55","0","500"
"14","500","10","90","10","88","0","500"
"12","500","10","90","10","57","0","500"
"15","500","10","90","10","60","0","500"
"10","500","1","90","10","71","0","500"
"13","500","10","90","10","67","0","500"
"9","500","1","90","10","97","0","500"
"11","500","10","90","10","56","0","500"
"12","500","10","90","10","58","0","500"
"14","500","10","90","10","89","0","500"
"15","500","10","90","10","61","0","500"
"12","500","10","90","10","59","0","500"
"11","500","10","90","10","57","0","500"
"13","500","10","90","10","68","0","500"
"10","500","1","90","10","72","0","500"
"15","500","10","90","10","62","0","500"
"9","500","1","90","10","98","0","500"
"12","500","10","90","10","60","0","500"
"11","500","10","90","10","58","0","500"
"14","500","10","90","10","90","0","500"
"13","500","10","90","10","69","0","500"
"10","500","1","90","10","73","0","500"
"15","500","10","90","10","63","0","500"
"9","500","1","90","10","99","0","500"
"14","500","10","90","10","91","0","500"
"12","500","10","90","10","61","0","500"
"13","500","10","90","10","70","0","500"
"11","500","10","90","10","59","0","500"
"9","500","1","90","10","100","0","500"
"16","500","10","90","10","72","0","500"
"12","500","10","90","10","62","0","500"
"15","500","10","90","10","64","0","500"
"14","500","10","90","10","92","0","500"
"10","500","1","90","10","74","0","500"
"13","500","10","90","10","71","0","500"
"12","500","10","90","10","63","0","500"
"14","500","10","90","10","93","0","500"
"11","500","10","90","10","60","0","500"
"10","500","1","90","10","75","0","500"
"16","500","10","90","10","73","0","500"
"13","500","10","90","10","72","0","500"
"12","500","10","90","10","64","0","500"
"14","500","10","90","10","94","0","500"
"17","500","10","90","10","0","2","500"
"11","500","10","90","10","61","0","500"
"10","500","1","90","10","76","0","500"
"13","500","10","90","10","73","0","500"
"16","500","10","90","10","74","0","500"
"14","500","10","90","10","95","0","500"
"12","500","10","90","10","65","0","500"
"15","500","10","90","10","65","0","500"
"11","500","10","90","10","62","0","500"
"16","500","10","90","10","75","0","500"
"14","500","10","90","10","96","0","500"
"17","500","10","90","10","1","1","500"
"10","500","1","90","10","77","0","500"
"13","500","10","90","10","74","0","500"
"12","500","10","90","10","66","0","500"
"16","500","10","90","10","76","0","500"
"14","500","10","90","10","97","0","500"
"11","500","10","90","10","63","0","500"
"10","500","1","90","10","78","0","500"
"17","500","10","90","10","2","1","500"
"12","500","10","90","10","67","0","500"
"16","500","10","90","10","77","0","500"
"13","500","10","90","10","75","0","500"
"14","500","10","90","10","98","0","500"
"10","500","1","90","10","79","0","500"
"11","500","10","90","10","64","0","500"
"16","500","10","90","10","78","0","500"
"12","500","10","90","10","68","0","500"
"17","500","10","90","10","3","1","500"
"14","500","10","90","10","99","0","500"
"16","500","10","90","10","79","0","500"
"13","500","10","90","10","76","0","500"
"10","500","1","90","10","80","0","500"
"11","500","10","90","10","65","0","500"
"17","500","10","90","10","4","1","500"
"12","500","10","90","10","69","0","500"
"14","500","10","90","10","100","0","500"
"16","500","10","90","10","80","0","500"
"11","500","10","90","10","66","0","500"
"13","500","10","90","10","77","0","500"
"10","500","1","90","10","81","0","500"
"17","500","10","90","10","5","1","500"
"12","500","10","90","10","70","0","500"
"16","500","10","90","10","81","0","500"
"11","500","10","90","10","67","0","500"
"13","500","10","90","10","78","0","500"
"10","500","1","90","10","82","0","500"
"12","500","10","90","10","71","0","500"
"17","500","10","90","10","6","1","500"
"16","500","10","90","10","82","0","500"
"11","500","10","90","10","68","0","500"
"18","500","10","90","10","0","0","500"
"13","500","10","90","10","79","0","500"
"10","500","1","90","10","83","0","500"
"12","500","10","90","10","72","0","500"
"16","500","10","90","10","83","0","500"
"11","500","10","90","10","69","0","500"
"17","500","10","90","10","7","1","500"
"13","500","10","90","10","80","0","500"
"10","500","1","90","10","84","0","500"
"12","500","10","90","10","73","0","500"
"18","500","10","90","10","1","0","500"
"11","500","10","90","10","70","0","500"
"13","500","10","90","10","81","0","500"
"17","500","10","90","10","8","1","500"
"16","500","10","90","10","84","0","500"
"10","500","1","90","10","85","0","500"
"12","500","10","90","10","74","0","500"
"18","500","10","90","10","2","0","500"
"13","500","10","90","10","82","0","500"
"11","500","10","90","10","71","0","500"
"17","500","10","90","10","9","1","500"
"10","500","1","90","10","86","0","500"
"16","500","10","90","10","85","0","500"
"12","500","10","90","10","75","0","500"
"13","500","10","90","10","83","0","500"
"18","500","10","90","10","3","0","500"
"11","500","10","90","10","72","0","500"
"10","500","1","90","10","87","0","500"
"16","500","10","90","10","86","0","500"
"12","500","10","90","10","76","0","500"
"13","500","10","90","10","84","0","500"
"17","500","10","90","10","10","1","500"
"11","500","10","90","10","73","0","500"
"10","500","1","90","10","88","0","500"
"16","500","10","90","10","87","0","500"
"18","500","10","90","10","4","0","500"
"12","500","10","90","10","77","0","500"
"13","500","10","90","10","85","0","500"
"11","500","10","90","10","74","0","500"
"16","500","10","90","10","88","0","500"
"17","500","10","90","10","11","1","500"
"12","500","10","90","10","78","0","500"
"10","500","1","90","10","89","0","500"
